Benchmark,Static-AlwaysTaken Correct,Static-AlwaysTaken Incorrect,Static-BTFNT Correct,Static-BTFNT Incorrect,Best-2bit-FSM (ABACBDCD:3) Correct,Best-2bit-FSM (ABACBDCD:3) Incorrect,Pentium-M Correct,Pentium-M Incorrect,LocalHistory-BHT2048-H8 Correct,LocalHistory-BHT2048-H8 Incorrect,LocalHistory-BHT4096-H4 Correct,LocalHistory-BHT4096-H4 Incorrect,LocalHistory-BHT8192-H2 Correct,LocalHistory-BHT8192-H2 Incorrect,GlobalHistory-H4-PHT16384 Correct,GlobalHistory-H4-PHT16384 Incorrect,GlobalHistory-H8-PHT16384 Correct,GlobalHistory-H8-PHT16384 Incorrect,GlobalHistory-H12-PHT16384 Correct,GlobalHistory-H12-PHT16384 Incorrect,Perceptron-M256-H20 Correct,Perceptron-M256-H20 Incorrect,Perceptron-M128-H32 Correct,Perceptron-M128-H32 Incorrect,Perceptron-M64-H60 Correct,Perceptron-M64-H60 Incorrect,Alpha21264 Correct,Alpha21264 Incorrect,Tournament-2bit-vs-Global Correct,Tournament-2bit-vs-Global Incorrect,Tournament-2bit-vs-FSM Correct,Tournament-2bit-vs-FSM Incorrect,Tournament-2bit-vs-Perceptron Correct,Tournament-2bit-vs-Perceptron Incorrect,Tournament-Global-vs-Perceptron Correct,Tournament-Global-vs-Perceptron Incorrect,Total Instructions
410.bwaves,28.00527155,17.00080646,13.74602501,15.49432421,7.56341317,11.26505186,16.05538746,20.6155032,11.88097236,8.239479623,6.272442998,4.562399975,1.973870282,4.895541816,8.514099978,13.7260767,3.559882454,3.509898902,,,,,,,,,,,,,,,,,,,
416.gamess,36.53829075,22.83728324,4.810374435,5.885298677,1.670691963,2.805944316,5.142601843,16.40759505,5.482657004,2.810465683,1.918172105,1.80267089,1.623545684,0.981592583,3.019657431,4.800145237,1.582804982,1.525154494,,,,,,,,,,,,,,,,,,,
429.mcf,130.6522354,58.58696736,13.24901252,54.71853769,11.0140622,12.00614909,13.40878572,16.20310898,12.07881801,9.817726606,8.57993045,8.527027228,8.498021702,8.453653783,10.07146551,13.0393273,8.756385131,8.680883025,,,,,,,,,,,,,,,,,,,
433.milc,14.12134781,13.38693022,12.9913805,1.282981688,0.03392619,0.063480817,3.088229495,4.309432043,2.4563445,0.977958088,0.035115725,0.034091572,0.028540051,0.020822254,2.226501392,12.99145137,0.028828909,0.028433145,,,,,,,,,,,,,,,,,,,
435.gromacs,25.64138524,7.484964407,3.031459192,2.920655946,2.163922903,2.495743909,3.650475563,6.081843534,4.414785957,2.002677171,1.508018934,1.535509989,1.618535922,1.498275979,2.170533625,3.020154316,1.683946827,1.705452866,,,,,,,,,,,,,,,,,,,
436.cactusADM,0.232333552,0.07008045,0.038952322,0.056408073,0.024953663,0.032083042,0.039290117,0.06583353,0.038610405,0.026335927,0.023637928,0.023158434,0.02312075,0.023596146,0.033180238,0.037247503,0.02299897,0.023346483,,,,,,,,,,,,,,,,,,,
450.soplex,64.9062229,29.47315131,8.377252215,12.75814265,7.02290415,8.227406171,8.895407704,21.48795528,9.991721012,7.584979127,6.091730661,5.843869696,5.874369692,6.078155158,7.532630612,8.397046904,6.059709156,5.983127173,,,,,,,,,,,,,,,,,,,
459.GemsFDTD,3.260537017,1.871671026,0.437288569,1.494721459,0.237243306,0.461145746,0.498350556,1.093917481,0.554651608,0.227063023,0.142462089,0.136557132,0.133650105,0.150539708,0.217444717,0.434654265,0.133087641,0.133004902,,,,,,,,,,,,,,,,,,,
470.lbm,9.55897079,2.740991175,0.333523504,0.292709819,0.180233795,0.181255318,0.209167643,0.24310885,0.192025419,0.180246357,0.18162847,0.181527479,0.18013925,0.177952573,0.182462085,0.333320484,0.180301174,0.178358063,,,,,,,,,,,,,,,,,,,
483.xalancbmk,85.17800425,27.23747246,11.20597596,8.260745988,7.76158524,11.3536555,14.85089648,35.0216155,22.73367515,13.43558049,2.038782146,1.576202991,1.705412991,3.569351194,9.175622576,11.31715944,2.038777648,2.534776317,,,,,,,,,,,,,,,,,,,
AVERAGE,44.89311949,21.38254876,7.752484646,12.31188467,4.825208964,6.076230662,7.791645341,15.35040148,9.177637157,5.616214624,3.142458303,2.977602624,2.893695114,3.205967328,5.1723116,7.734800373,2.963913744,3.203365717,,,,,,,,,,,,,,,,,,,
