Benchmark,Static-AlwaysTaken Correct,Static-AlwaysTaken Incorrect,Perceptron-M128-H32 Correct,Perceptron-M128-H32 Incorrect,Perceptron-M64-H60 Correct,Perceptron-M64-H60 Incorrect,Tournament-2bit-vs-Perceptron Correct,Tournament-2bit-vs-Perceptron Incorrect,Total Instructions
403.gcc,12297172279,13571316761,24938315980,930173060,24777674242,1090814798,24916971293,951517747,142161988799
410.bwaves,88592483120,34014692448,119873165692,2734009876,121367265505,1239910063,120436576838,2170598730,2181032743587
416.gamess,34756615404,32132850043,65271676166,1617789281,65338007107,1551458340,65356967246,1532498201,1042737229255
429.mcf,25764447101,39087003840,61379060952,3472389989,61361390075,3490060866,61251915622,3599535319,304114926988
433.milc,36675874309,16584639436,53234669775,25843970,53239886308,20627437,53239672344,20841401,1169067600937
435.gromacs,26179758240,52980567434,75987381619,3172944055,75815308021,3345017653,75682168555,3478157119,2070986406325
436.cactusADM,4156984463,165207271,4286568640,35623094,4286711974,35479760,4286618960,35572774,2782911384953
450.soplex,31494720701,20449951572,50312660006,1632012267,50335753354,1608918919,50286585894,1658086379,351767190108
459.GemsFDTD,33969825001,7764018853,41592218267,141625587,41592505560,141338294,41592971345,140872509,1475066364810
470.lbm,527480257,11071876780,11546411548,52945489,11548460518,50896519,11548475512,50881525,1273858825862
483.xalancbmk,75392833442,162509907082,236533747832,1368992692,236459277521,1443463003,236537708243,1365032281,924613456794


Benchmark,Static-AlwaysTaken MPKI,Perceptron-M128-H32 MPKI,Perceptron-M64-H60 MPKI,Tournament-2bit-vs-Perceptron MPKI
403.gcc,95.46375142646755,6.543050416346897,7.673041206129166,6.693193834994331
410.bwaves,15.595681700797526,1.2535391245449876,0.5684967667935155,0.995216021576164
416.gamess,30.815865341221027,1.5514831882964946,1.4878708618742458,1.4696878158794784
429.mcf,128.52708095299224,11.418018916042934,11.476124834009589,11.836102077100717
433.milc,14.186210808260807,0.02210648039453512,0.01764434920911951,0.0178273702763602
435.gromacs,25.582286427468592,1.5320931346094357,1.6151808832660517,1.6794688310736177
436.cactusADM,0.05936490536251486,0.012800656964002335,0.012749151910418883,0.012782575180920028
450.soplex,58.13490327429749,4.639466990934935,4.573817468610497,4.713590197229402
459.GemsFDTD,5.2635047739022,0.09601302719572381,0.09581826104360089,0.0955024888104919
470.lbm,8.691604246261619,0.0415630742787943,0.039954599337614305,0.03994282880253177
483.xalancbmk,175.75983335294086,1.4806108238429043,1.5611529254668826,1.4763275085062098
