Benchmark,Static-AlwaysTaken Correct,Static-AlwaysTaken Incorrect,Static-BTFNT Correct,Static-BTFNT Incorrect,Best-2bit-FSM (ABACBDCD:3) Correct,Best-2bit-FSM (ABACBDCD:3) Incorrect,Pentium-M Correct,Pentium-M Incorrect,LocalHistory-BHT2048-H8 Correct,LocalHistory-BHT2048-H8 Incorrect,LocalHistory-BHT4096-H4 Correct,LocalHistory-BHT4096-H4 Incorrect,LocalHistory-BHT8192-H2 Correct,LocalHistory-BHT8192-H2 Incorrect,GlobalHistory-H4-PHT16384 Correct,GlobalHistory-H4-PHT16384 Incorrect,GlobalHistory-H8-PHT16384 Correct,GlobalHistory-H8-PHT16384 Incorrect,GlobalHistory-H12-PHT16384 Correct,GlobalHistory-H12-PHT16384 Incorrect,Perceptron-M256-H20 Correct,Perceptron-M256-H20 Incorrect,Perceptron-M128-H32 Correct,Perceptron-M128-H32 Incorrect,Perceptron-M64-H60 Correct,Perceptron-M64-H60 Incorrect,Alpha21264 Correct,Alpha21264 Incorrect,Tournament-2bit-vs-Global Correct,Tournament-2bit-vs-Global Incorrect,Tournament-2bit-vs-FSM Correct,Tournament-2bit-vs-FSM Incorrect,Tournament-2bit-vs-Perceptron Correct,Tournament-2bit-vs-Perceptron Incorrect,Tournament-Global-vs-Perceptron Correct,Tournament-Global-vs-Perceptron Incorrect,Total Instructions
Benchmark,Static-AlwaysTaken MPKI,Static-BTFNT MPKI,Best-2bit-FSM (ABACBDCD:3) MPKI,Pentium-M MPKI,LocalHistory-BHT2048-H8 MPKI,LocalHistory-BHT4096-H4 MPKI,LocalHistory-BHT8192-H2 MPKI,GlobalHistory-H4-PHT16384 MPKI,GlobalHistory-H8-PHT16384 MPKI,GlobalHistory-H12-PHT16384 MPKI,Perceptron-M256-H20 MPKI,Perceptron-M128-H32 MPKI,Perceptron-M64-H60 MPKI,Alpha21264 MPKI,Tournament-2bit-vs-Global MPKI,Tournament-2bit-vs-FSM MPKI,Tournament-2bit-vs-Perceptron MPKI,Tournament-Global-vs-Perceptron MPKI,,,,,,,,,,,,,,,,,,,
403.gcc,95.46375143,53.79017323,16.30221538,35.88887334,13.14119905,16.15136101,18.34416674,44.24743801,25.80148038,13.33494865,6.239068372,6.543050416,7.673041206,7.365726836,12.04765037,15.94418414,6.693193835,8.426248972,,,,,,,,,,,,,,,,,,,
410.bwaves,15.5956817,10.17473782,8.366600842,6.138484905,2.096908823,5.080020231,9.5063999,8.715465388,3.742189641,2.75397808,2.201513664,1.253539125,0.568496767,1.341708355,2.804450328,8.3611841,0.995216022,0.980065447,,,,,,,,,,,,,,,,,,,
416.gamess,30.81586534,20.72657002,8.606795372,6.840910576,2.056752862,4.671535522,9.866715483,13.76476173,6.212350355,2.908319591,1.748700335,1.551483188,1.487870862,0.996859871,3.763250064,8.674933766,1.469687816,1.467541921,,,,,,,,,,,,,,,,,,,
429.mcf,128.527081,64.94077236,20.75640375,29.93905209,14.84726852,15.77087785,17.09584701,18.97745441,14.46530209,12.60453544,11.45939525,11.41801892,11.47612483,11.61572419,13.27406896,20.36916739,11.83610208,11.64781577,,,,,,,,,,,,,,,,,,,
433.milc,14.18621081,13.08692621,12.74798457,1.235216939,0.018288565,0.084160973,3.094981578,4.26589619,2.377307527,0.964461982,0.0225589,0.02210648,0.017644349,0.011110661,2.123279323,12.74804114,0.01782737,0.017716005,,,,,,,,,,,,,,,,,,,
435.gromacs,25.58228643,7.427890069,3.023204515,2.910095092,2.157685835,2.487880274,3.645434892,6.038160502,4.399470895,1.995273069,1.504467799,1.532093135,1.615180883,1.494361852,2.163581269,3.012190699,1.679468831,1.701097457,,,,,,,,,,,,,,,,,,,
436.cactusADM,0.059364905,0.021608995,0.017800238,0.029674812,0.013351257,0.014153949,0.017274399,0.022163598,0.015943992,0.013649425,0.012972026,0.012800657,0.012749152,0.012971806,0.014483128,0.016776564,0.012782575,0.012807612,,,,,,,,,,,,,,,,,,,
450.soplex,58.13490327,28.25276152,7.130750103,10.99929609,6.337306576,6.989899894,7.24684294,18.32802897,7.288099894,5.60112516,4.900056743,4.639466991,4.573817469,4.812390003,6.202554875,7.13783078,4.713590197,4.668407675,,,,,,,,,,,,,,,,,,,
459.GemsFDTD,5.263504774,3.462730093,0.306934442,0.604226358,0.263034766,0.314513005,0.343281322,1.148520127,0.314537106,0.109199054,0.097006977,0.096013027,0.095818261,0.096883798,0.277779443,0.307296232,0.095502489,0.095552807,,,,,,,,,,,,,,,,,,,
470.lbm,8.691604246,2.935107286,0.105782202,0.156756156,0.041664349,0.042545074,0.04756039,0.05190894,0.041307661,0.041180265,0.041437085,0.041563074,0.039954599,0.041150357,0.041168788,0.105782107,0.039942829,0.039338013,,,,,,,,,,,,,,,,,,,
483.xalancbmk,175.7598334,24.42166075,7.967160622,12.34778791,6.206264758,7.986104245,9.215669818,34.01441307,14.15456563,8.774355879,1.783430708,1.480610824,1.561152925,2.671790566,5.689564238,7.979036539,1.476327509,1.748810511,,,,,,,,,,,,,,,,,,,
?VERAGE,50.73455338,20.8400853,7.757421094,9.73548857,4.289065942,5.417550184,7.129470406,13.59765554,7.164777743,4.463729691,2.728237079,2.599158712,2.647441028,2.769152572,4.400166435,7.696038496,2.639058323,2.800491108,,,,,,,,,,,,,,,,,,,
