benchmark,policy,file,l1_size_kb,l1_assoc,l1_block_b,l2_size_kb,l2_assoc,l2_block_b,l1_latency,l2_latency,mem_latency,total_instructions,total_cycles,ipc_reported,ipc_computed,l1_total_accesses,l1_total_hits,l1_total_misses,l1_total_miss_rate,l1_total_mpki,l2_total_accesses,l2_total_hits,l2_total_misses,l2_total_miss_rate,l2_total_mpki,mem_accesses,mem_mpki,l1_load_accesses,l1_load_hits,l1_load_misses,l1_load_miss_rate,l1_load_mpki,l1_store_accesses,l1_store_hits,l1_store_misses,l1_store_miss_rate,l1_store_mpki,l2_load_accesses,l2_load_hits,l2_load_misses,l2_load_miss_rate,l2_load_mpki,l2_store_accesses,l2_store_hits,l2_store_misses,l2_store_miss_rate,l2_store_mpki,l2_size_kb_filename,l2_assoc_filename,l2_block_b_filename,l1_load_accesses_pct,l1_load_hits_pct,l1_load_misses_pct,l1_store_accesses_pct,l1_store_hits_pct,l1_store_misses_pct,l1_total_accesses_pct,l1_total_hits_pct,l1_total_misses_pct,l2_load_accesses_pct,l2_load_hits_pct,l2_load_misses_pct,l2_store_accesses_pct,l2_store_hits_pct,l2_store_misses_pct,l2_total_accesses_pct,l2_total_hits_pct,l2_total_misses_pct
403.gcc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_2048_16_256.out,32,4,32,2048,16,256,1,15,250,3184329686,6559974336,0.485418,0.4854180097207014,1230711695,1163393998,67317697,0.054698185833035415,21.140303812122298,67317697,62777027,4540670,0.0674513568103793,1.4259421755112827,4540670,1.4259421755112827,757430740,719639039,37791701,0.04989459630328708,11.868023956863619,473280955,443754959,29525996,0.062385768301198595,9.272279855258681,37791701,33709722,4081979,0.1080125766236349,1.2818958470118662,29525996,29067305,458691,0.015535157560815221,0.14404632849941656,2048,16,256,100.0,95.01,4.99,100.0,93.76,6.24,100.0,94.53,5.47,100.0,89.2,10.8,100.0,98.45,1.55,100.0,93.25,6.75
429.mcf,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0256_04_064.out,32,4,32,256,4,64,1,15,250,18199704597,639841455029,0.0284441,0.028444084786871337,8233778687,5057646404,3176132283,0.3857441891187426,174.51559535331944,3176132283,913068333,2263063950,0.7125219444142402,124.34619133175593,2263063950,124.34619133175593,6352980990,3248678621,3104302369,0.48863712545124427,170.56883272224684,1880797697,1808967783,71829914,0.038191196275162174,3.9467626310726103,3104302369,875402594,2228899775,0.7180034384723945,122.46900839079592,71829914,37665739,34164175,0.4756260045083724,1.877182940960017,256,4,64,100.0,51.14,48.86,100.0,96.18,3.82,100.0,61.43,38.57,100.0,28.2,71.8,100.0,52.44,47.56,100.0,28.75,71.25
429.mcf,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0256_04_128.out,32,4,32,256,4,128,1,15,250,18199704597,477467258384,0.0381172,0.03811717825133677,8233778687,5053080047,3180698640,0.38629877737931967,174.76649816197016,3180698640,1567405458,1613293182,0.5072134661584915,88.6439213011145,1613293182,88.6439213011145,6352980990,3244541441,3108439549,0.48928834414787065,170.79615399430102,1880797697,1808538606,72259091,0.038419385091367435,3.97034416766913,3108439549,1513683731,1594755818,0.5130406407655702,87.6253682855312,72259091,53721727,18537364,0.2565402324255643,1.0185530155833222,256,4,128,100.0,51.07,48.93,100.0,96.16,3.84,100.0,61.37,38.63,100.0,48.7,51.3,100.0,74.35,25.65,100.0,49.28,50.72
429.mcf,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0256_04_256.out,32,4,32,256,4,256,1,15,250,18199704597,359858523669,0.0505746,0.05057461029807424,8233778687,5032706078,3201072609,0.3887732146668032,175.8859651781193,3201072609,2059436804,1141635805,0.3566416462376471,62.72826017122195,1141635805,62.72826017122195,6352980990,3225293130,3127687860,0.49231815189171535,171.85377066590198,1880797697,1807412948,73384749,0.039017885398867545,4.032194512217335,3127687860,1997589971,1130097889,0.3613205471852936,62.09429845285967,73384749,61846833,11537916,0.15722498417212002,0.6339617183622797,256,4,256,100.0,50.77,49.23,100.0,96.1,3.9,100.0,61.12,38.88,100.0,63.87,36.13,100.0,84.28,15.72,100.0,64.34,35.66
429.mcf,Sets: 2048,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_04_064.out,32,4,32,512,4,64,1,15,250,18199704597,607249100859,0.0299707,0.029970739472903518,8233778687,5058986832,3174791855,0.38558139290439736,174.44194426778364,3174791855,1042016896,2132774959,0.6717841850454161,117.18733936767094,2132774959,117.18733936767094,6352980990,3249735717,3103245273,0.4884707317532836,170.51074958170105,1880797697,1809251115,71546582,0.038040551684065574,3.931194686082629,3103245273,1003754949,2099490324,0.6765466920281038,115.35848358473221,71546582,38261947,33284635,0.46521628384707464,1.8288557829387277,512,4,64,100.0,51.15,48.85,100.0,96.2,3.8,100.0,61.44,38.56,100.0,32.35,67.65,100.0,53.48,46.52,100.0,32.82,67.18
429.mcf,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_04_128.out,32,4,32,512,4,128,1,15,250,18199704597,443502070379,0.0410363,0.04103634641761024,8233778687,5058155764,3175622923,0.3856823268779218,174.48760808587315,3175622923,1697885950,1477736973,0.46533767038184337,81.19565705718031,1477736973,81.19565705718031,6352980990,3249072164,3103908826,0.4885751792561243,170.5472091295175,1880797697,1809083600,71714097,0.03812961761617895,3.940398956355654,3103908826,1643567970,1460340856,0.4704844561693965,80.23981093850938,71714097,54317980,17396117,0.2425759749857828,0.9558461186709337,512,4,128,100.0,51.14,48.86,100.0,96.19,3.81,100.0,61.43,38.57,100.0,52.95,47.05,100.0,75.74,24.26,100.0,53.47,46.53
429.mcf,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_04_256.out,32,4,32,512,4,256,1,15,250,18199704597,307653259344,0.0591565,0.05915654732801042,8233778687,5054186333,3179592354,0.3861644179263814,174.70571223030274,3179592354,2245488791,934103563,0.2937809187472967,51.32520464941918,934103563,51.32520464941918,6352980990,3245201544,3107779446,0.4891844396971822,170.7598840100009,1880797697,1808984789,71812908,0.03818215436702547,3.945828220301855,3107779446,2183237510,924541936,0.29749277645489647,50.79983200125125,71812908,62251281,9561627,0.13314635580556075,0.5253726481679334,512,4,256,100.0,51.08,48.92,100.0,96.18,3.82,100.0,61.38,38.62,100.0,70.25,29.75,100.0,86.69,13.31,100.0,70.62,29.38
429.mcf,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_08_064.out,32,4,32,512,8,64,1,15,250,18199704597,607410432144,0.0299628,0.02996277909281176,8233778687,5059054313,3174724374,0.3855731972748371,174.4382364603497,3174724374,1041300041,2133424333,0.6720030092917918,117.22301983690818,2133424333,117.22301983690818,6352980990,3249763268,3103217722,0.48846639504898,170.50923576592157,1880797697,1809291045,71506652,0.03801932133054925,3.9290006944281393,3103217722,1003023666,2100194056,0.6767794734835559,115.39715080574393,71506652,38276375,33230277,0.4647158840550946,1.8258690311642534,512,8,64,100.0,51.15,48.85,100.0,96.2,3.8,100.0,61.44,38.56,100.0,32.32,67.68,100.0,53.53,46.47,100.0,32.8,67.2
429.mcf,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_08_128.out,32,4,32,512,8,128,1,15,250,18199704597,440738979159,0.0412936,0.041293612449999156,8233778687,5058769312,3175009375,0.38560781090860524,174.45389611012487,3175009375,1708287954,1466721421,0.4619581386275434,80.59039712335613,1466721421,80.59039712335613,6352980990,3249591067,3103389923,0.488493500592074,170.51869751290116,1880797697,1809178245,71619452,0.038079295882931956,3.9351985972236934,3103389923,1653968525,1449421398,0.4670445654469569,79.63983098049401,71619452,54319429,17300023,0.24155480832218598,0.9505661428621044,512,8,128,100.0,51.15,48.85,100.0,96.19,3.81,100.0,61.44,38.56,100.0,53.3,46.7,100.0,75.84,24.16,100.0,53.8,46.2
429.mcf,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_08_256.out,32,4,32,512,8,256,1,15,250,18199704597,301221084924,0.0604198,0.06041975647751186,8233778687,5057998161,3175780526,0.38570146790733145,174.49626773192182,3175780526,2267176951,908603575,0.28610401996022566,49.92408366615864,908603575,49.92408366615864,6352980990,3248802580,3104178410,0.4886176135087097,170.5620216776313,1880797697,1809195581,71602116,0.038070078517328174,3.934246054290504,3104178410,2204786574,899391836,0.2897358712059337,49.417935945413845,71602116,62390377,9211739,0.12865177057057922,0.5061477207447885,512,8,256,100.0,51.14,48.86,100.0,96.19,3.81,100.0,61.43,38.57,100.0,71.03,28.97,100.0,87.13,12.87,100.0,71.39,28.61
429.mcf,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_16_064.out,32,4,32,512,16,64,1,15,250,18199704597,607713050374,0.0299479,0.029947858756364538,8233778687,5058960881,3174817806,0.38558454467723297,174.44337017004827,3174817806,1040188606,2134629200,0.6723627403014508,117.28922239495401,2134629200,117.28922239495401,6352980990,3249833966,3103147024,0.48845526672983164,170.5053511973769,1880797697,1809126915,71670782,0.03810658749440185,3.938018972671351,3103147024,1001755715,2101391309,0.6771807113061878,115.46293500535107,71670782,38432891,33237891,0.4637578950931497,1.8262873896029534,512,16,64,100.0,51.15,48.85,100.0,96.19,3.81,100.0,61.44,38.56,100.0,32.28,67.72,100.0,53.62,46.38,100.0,32.76,67.24
429.mcf,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_16_128.out,32,4,32,512,16,128,1,15,250,18199704597,440198905474,0.0413443,0.04134427498724199,8233778687,5058858091,3174920596,0.385597028617342,174.44901806391667,3174920596,1710354143,1464566453,0.46129230911953173,80.47199036633903,1464566453,80.47199036633903,6352980990,3249604840,3103376150,0.4884913326334383,170.51794074237634,1880797697,1809253251,71544446,0.03803941599573322,3.9310773215403305,3103376150,1656096789,1447279361,0.4663564102598391,79.52213472951458,71544446,54257354,17287092,0.24162730954685147,0.9498556368244332,512,16,128,100.0,51.15,48.85,100.0,96.2,3.8,100.0,61.44,38.56,100.0,53.36,46.64,100.0,75.84,24.16,100.0,53.87,46.13
429.mcf,Sets:  128,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_0512_16_256.out,32,4,32,512,16,256,1,15,250,18199704597,299566451719,0.0607535,0.06075348054685285,8233778687,5058477758,3175300929,0.3856432204102549,174.46991582068918,3175300929,2273287111,902013818,0.2840719157551067,49.56200322881538,902013818,49.56200322881538,6352980990,3249304433,3103676557,0.4885386186241366,170.53444688940738,1880797697,1809173325,71624372,0.038081911794259286,3.9354689312817976,3103676557,2210884147,892792410,0.28765639511836544,49.055324235711275,71624372,62402964,9221408,0.12874679026854155,0.5066789931040989,512,16,256,100.0,51.15,48.85,100.0,96.19,3.81,100.0,61.44,38.56,100.0,71.23,28.77,100.0,87.13,12.87,100.0,71.59,28.41
429.mcf,Sets: 2048,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_1024_08_064.out,32,4,32,1024,8,64,1,15,250,18199704597,555738385389,0.0327487,0.03274869088673938,8233778687,5059371630,3174407057,0.3855346588331249,174.4208011773588,3174407057,1247651872,1926755185,0.6069653798025815,105.86738783208614,1926755185,105.86738783208614,6352980990,3250072082,3102908908,0.4884177857425007,170.49226768831605,1880797697,1809299548,71498149,0.038014800376480896,3.9285334890427617,3102908908,1208534141,1894374767,0.6105157525301094,104.08821510829712,71498149,39117731,32380418,0.4528847033508518,1.779172723789018,1024,8,64,100.0,51.16,48.84,100.0,96.2,3.8,100.0,61.45,38.55,100.0,38.95,61.05,100.0,54.71,45.29,100.0,39.3,60.7
429.mcf,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_1024_08_128.out,32,4,32,1024,8,128,1,15,250,18199704597,406001376979,0.0448267,0.04482670658021281,8233778687,5059316024,3174462663,0.3855414122330053,174.42385650167486,3174462663,1846658848,1327803815,0.4182767151355215,72.95743773879012,1327803815,72.95743773879012,6352980990,3250029840,3102951150,0.48842443490453447,170.49458871499945,1880797697,1809286184,71511513,0.038021905872208224,3.929267786675384,3102951150,1791968786,1310982364,0.4224953280363437,72.03316718756521,71511513,54690062,16821451,0.23522717244145008,0.9242705512249254,1024,8,128,100.0,51.16,48.84,100.0,96.2,3.8,100.0,61.45,38.55,100.0,57.75,42.25,100.0,76.48,23.52,100.0,58.17,41.83
429.mcf,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_1024_08_256.out,32,4,32,1024,8,256,1,15,250,18199704597,264273805774,0.0688669,0.06886685021126879,8233778687,5059136571,3174642116,0.3855632069650259,174.4337167166604,3174642116,2413759353,760882763,0.23967513036042642,41.80742379331927,760882763,41.80742379331927,6352980990,3249946575,3103034415,0.48843754135017486,170.4991637892572,1880797697,1809189996,71607701,0.038073048002036126,3.93455292740321,3103034415,2350931089,752103326,0.24237672723330075,41.32502931525466,71607701,62828264,8779437,0.12260464834641178,0.4823944780646156,1024,8,256,100.0,51.16,48.84,100.0,96.19,3.81,100.0,61.44,38.56,100.0,75.76,24.24,100.0,87.74,12.26,100.0,76.03,23.97
429.mcf,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_1024_16_064.out,32,4,32,1024,16,64,1,15,250,18199704597,558627810319,0.0325793,0.03257930282168946,8233778687,5059339168,3174439519,0.3855386013729033,174.42258483268284,3174439519,1236128582,1938310937,0.610599422480287,106.502329566355,1938310937,106.502329566355,6352980990,3249977715,3103003275,0.4884326397142265,170.4974527724748,1880797697,1809361453,71436244,0.03798188615072512,3.9251320602080213,3103003275,1197090890,1905912385,0.6142153958893259,104.72216045276727,71436244,39037692,32398552,0.45353101151286734,1.7801691135877287,1024,16,64,100.0,51.16,48.84,100.0,96.2,3.8,100.0,61.45,38.55,100.0,38.58,61.42,100.0,54.65,45.35,100.0,38.94,61.06
429.mcf,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_1024_16_128.out,32,4,32,1024,16,128,1,15,250,18199704597,406764744594,0.0447426,0.04474258115748327,8233778687,5059208483,3174570204,0.38555447318643726,174.42976544373633,3174570204,1843719371,1330850833,0.4192223663294989,73.1248590276226,1330850833,73.1248590276226,6352980990,3250078328,3102902662,0.48841680258199544,170.49192449593252,1880797697,1809130155,71667542,0.03810486482108873,3.9378409478038185,3102902662,1788891027,1314011635,0.42347820029682903,72.19961335068037,71667542,54828344,16839198,0.2349626836650823,0.9252456769422366,1024,16,128,100.0,51.16,48.84,100.0,96.19,3.81,100.0,61.44,38.56,100.0,57.65,42.35,100.0,76.5,23.5,100.0,58.08,41.92
429.mcf,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_1024_16_256.out,32,4,32,1024,16,256,1,15,250,18199704597,264070245014,0.0689199,0.06891993679952514,8233778687,5059314155,3174464532,0.3855416392247755,174.42395919564936,3174464532,2414385357,760079175,0.23943539684821402,41.763269889846995,760079175,41.763269889846995,6352980990,3249965633,3103015357,0.48843454149860444,170.49811662940368,1880797697,1809348522,71449175,0.03798876142498807,3.9258425662456924,3103015357,2351691913,751323444,0.24212688548418293,41.28217796039649,71449175,62693444,8755731,0.12254488592765417,0.48109192945050744,1024,16,256,100.0,51.16,48.84,100.0,96.2,3.8,100.0,61.45,38.55,100.0,75.79,24.21,100.0,87.75,12.25,100.0,76.06,23.94
429.mcf,Sets: 2048,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_2048_16_064.out,32,4,32,2048,16,64,1,15,250,18199704597,405014398439,0.0449359,0.044935944665535375,8233778687,5059498060,3174280627,0.3855193037932573,174.4138543613088,3174280627,1850413804,1323866823,0.417060423624606,72.74111598592778,1323866823,72.74111598592778,6352980990,3250129918,3102851072,0.48840868198473864,170.4890898345387,1880797697,1809368142,71429555,0.0379783296810364,3.9247645267700824,3102851072,1810147308,1292703764,0.41661805030389804,71.02883220495164,71429555,40266496,31163059,0.4362768184682097,1.7122837809761402,2048,16,64,100.0,51.16,48.84,100.0,96.2,3.8,100.0,61.45,38.55,100.0,58.34,41.66,100.0,56.37,43.63,100.0,58.29,41.71
429.mcf,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_2048_16_128.out,32,4,32,2048,16,128,1,15,250,18199704597,343129957234,0.0530403,0.05304026714458096,8233778687,5059109657,3174669030,0.38556647569509783,174.43519553187173,3174669030,2098363276,1076305754,0.33902927953406214,59.13863866655374,1076305754,59.13863866655374,6352980990,3250051382,3102929608,0.48842104405541437,170.49340506941417,1880797697,1809058275,71739422,0.03814308264755388,3.9417904624575817,3102929608,2042798414,1060131194,0.3416549287056853,58.249912153780215,71739422,55564862,16174560,0.2254626473015074,0.8887265127735193,2048,16,128,100.0,51.16,48.84,100.0,96.19,3.81,100.0,61.44,38.56,100.0,65.83,34.17,100.0,77.45,22.55,100.0,66.1,33.9
429.mcf,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/429.mcf/429.mcf.cslab_cache_stats_L2_LRU_2048_16_256.out,32,4,32,2048,16,256,1,15,250,18199704597,221793644794,0.0820569,0.08205692554402867,8233778687,5058536703,3175241984,0.38563606148575125,174.4666770318569,3175241984,2584315857,590926127,0.18610428117846403,32.46899551860897,590926127,32.46899551860897,6352980990,3249573534,3103407456,0.4884962603988525,170.51966088018588,1880797697,1808963169,71834528,0.03819364948956549,3.9470161516710034,3103407456,2520806402,582601054,0.18772947550719554,32.011566500702145,71834528,63509455,8325073,0.11589236028668554,0.45742901790682294,2048,16,256,100.0,51.15,48.85,100.0,96.18,3.82,100.0,61.44,38.56,100.0,81.23,18.77,100.0,88.41,11.59,100.0,81.39,18.61
433.milc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0256_04_064.out,32,4,32,256,4,64,1,15,250,38323372715,268768822529,0.142589,0.14258860962515446,13220707774,11830139688,1390568086,0.10518106214666567,36.28511760541689,1390568086,605103203,785464883,0.5648517975552043,20.495713903921725,785464883,20.495713903921725,9656551853,8616784136,1039767717,0.1076748442744576,27.13142511575002,3564155921,3213355552,350800369,0.09842452933472548,9.153692489666875,1039767717,438181096,601586621,0.5785778988558461,15.69764293643538,350800369,166922107,183878262,0.5241678123776432,4.798070967486349,256,4,64,100.0,89.23,10.77,100.0,90.16,9.84,100.0,89.48,10.52,100.0,42.14,57.86,100.0,47.58,52.42,100.0,43.51,56.49
433.milc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0256_04_128.out,32,4,32,256,4,128,1,15,250,38323372715,193482369009,0.198072,0.19807165330509963,13220707774,11829840406,1390867368,0.10520369951261582,36.292926991146736,1390867368,906566256,484301112,0.34820078689199646,12.637225736931072,484301112,12.637225736931072,9656551853,8616169934,1040381919,0.10773844896579565,27.147451941065412,3564155921,3213670472,350485449,0.09833617180857336,9.145475050081329,1040381919,656610402,383771517,0.3688756119184344,10.014032946786791,350485449,249955854,100529595,0.2868295824743355,2.6231927901442793,256,4,128,100.0,89.23,10.77,100.0,90.17,9.83,100.0,89.48,10.52,100.0,63.11,36.89,100.0,71.32,28.68,100.0,65.18,34.82
433.milc,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0256_04_256.out,32,4,32,256,4,256,1,15,250,38323372715,160159324119,0.239283,0.23928280745319172,13220707774,11828286282,1392421492,0.10532125176674373,36.33347989372026,1392421492,1041505807,350915685,0.25201829116840435,9.156701515016955,350915685,9.156701515016955,9656551853,8615800062,1040751791,0.10777675166489886,27.157103283674285,3564155921,3212486220,351669701,0.09866843897820597,9.176376610045972,1040751791,757218996,283532795,0.27243075385685306,7.398430120139805,351669701,284286811,67382890,0.19160846046273403,1.758271394877151,256,4,256,100.0,89.22,10.78,100.0,90.13,9.87,100.0,89.47,10.53,100.0,72.76,27.24,100.0,80.84,19.16,100.0,74.8,25.2
433.milc,Sets: 2048,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0512_04_064.out,32,4,32,512,4,64,1,15,250,38323372715,267868234654,0.143068,0.14306800044619522,13220707774,11831288363,1389419411,0.10509417761524452,36.25514438232553,1389419411,607487959,781931452,0.5627756786823817,20.403513485490993,781931452,20.403513485490993,9656551853,8617659713,1038892140,0.10758417246806866,27.108578039984756,3564155921,3213628650,350527271,0.09834790586312288,9.146566342340781,1038892140,439345297,599546843,0.5771021070580051,15.644417506221568,350527271,168142662,182384609,0.5203150342045713,4.759095979269423,512,4,64,100.0,89.24,10.76,100.0,90.17,9.83,100.0,89.49,10.51,100.0,42.29,57.71,100.0,47.97,52.03,100.0,43.72,56.28
433.milc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0512_04_128.out,32,4,32,512,4,128,1,15,250,38323372715,192835229999,0.198736,0.19873636531664227,13220707774,11831492040,1389215734,0.105078771707824,36.24982968830018,1389215734,907404080,481811654,0.34682277360385844,12.572266475163758,481811654,12.572266475163758,9656551853,8617553244,1038998609,0.10759519803926848,27.11135621404558,3564155921,3213938796,350217125,0.09826088778454425,9.1384734742546,1038998609,656951246,382047363,0.36770729016442794,9.969043326149224,350217125,250452834,99764291,0.2848641139407446,2.6032231490145348,512,4,128,100.0,89.24,10.76,100.0,90.17,9.83,100.0,89.49,10.51,100.0,63.23,36.77,100.0,71.51,28.49,100.0,65.32,34.68
433.milc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0512_04_256.out,32,4,32,512,4,256,1,15,250,38323372715,159643070979,0.240057,0.2400565992622454,13220707774,11830371708,1390336066,0.10516351240545921,36.279063336610086,1390336066,1041360268,348975798,0.2510010396292201,9.106082614263455,348975798,9.106082614263455,9656551853,8617127756,1039424097,0.107639260144094,27.122458785918994,3564155921,3213243952,350911969,0.09845584109618419,9.156604550691096,1039424097,757374048,282050049,0.27135223227367605,7.359739736309897,350911969,283986220,66925749,0.1907194821274392,1.7463428779535592,512,4,256,100.0,89.24,10.76,100.0,90.15,9.85,100.0,89.48,10.52,100.0,72.86,27.14,100.0,80.93,19.07,100.0,74.9,25.1
433.milc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0512_08_064.out,32,4,32,512,8,64,1,15,250,38323372715,267851267854,0.143077,0.14307706296125972,13220707774,11831066633,1389641141,0.10511094903200906,36.26093014658092,1389641141,607790860,781850281,0.562627471173869,20.401395430783133,781850281,20.401395430783133,9656551853,8617254649,1039297204,0.10762611953221393,27.119147673378254,3564155921,3213811984,350343937,0.09829646759721543,9.141782473202658,1039297204,439924914,599372290,0.5767092297498377,15.639862766186077,350343937,167865946,182477991,0.5208538573910014,4.761532664597055,512,8,64,100.0,89.24,10.76,100.0,90.17,9.83,100.0,89.49,10.51,100.0,42.33,57.67,100.0,47.91,52.09,100.0,43.74,56.26
433.milc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0512_08_128.out,32,4,32,512,8,128,1,15,250,38323372715,192913422104,0.198656,0.19865581304311627,13220707774,11830850983,1389856791,0.10512726056416652,36.2665572609167,1389856791,907770832,482085959,0.3468601672645279,12.579424117630143,482085959,12.579424117630143,9656551853,8617059100,1039492753,0.10764636992831565,27.1242502775111,3564155921,3213791883,350364038,0.0983021073617054,9.142306983405597,1039492753,657351296,382141457,0.3676230121827506,9.97149859021744,350364038,250419536,99944502,0.2852590196485862,2.607925527412704,512,8,128,100.0,89.24,10.76,100.0,90.17,9.83,100.0,89.49,10.51,100.0,63.24,36.76,100.0,71.47,28.53,100.0,65.31,34.69
433.milc,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0512_08_256.out,32,4,32,512,8,256,1,15,250,38323372715,159596943784,0.240126,0.24012598115204017,13220707774,11830775671,1389932103,0.1051329570821811,36.26852243242078,1389932103,1041116576,348815527,0.2509586808212602,9.101900544976603,348815527,9.101900544976603,9656551853,8617134681,1039417172,0.10763854301440781,27.12227808679182,3564155921,3213640990,350514931,0.0983444436127967,9.146244345628963,1039417172,757501161,281916011,0.2712250851672479,7.3562421840198935,350514931,283615415,66899516,0.19086067406355367,1.74565836095671,512,8,256,100.0,89.24,10.76,100.0,90.17,9.83,100.0,89.49,10.51,100.0,72.88,27.12,100.0,80.91,19.09,100.0,74.9,25.1
433.milc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/433.milc/433.milc.cslab_cache_stats_L2_LRU_0512_16_064.out,32,4,32,512,16,64,1,15,250,38323373280,267842000716,0.143082,0.14308201543280472,13220707896,11831683860,1389024036,0.10506427090944631,36.24482703679158,1389024036,607173800,781850236,0.5628773986168804,20.40139395578802,781850236,20.40139395578802,9656551975,8617743325,1038808650,0.10757552516564796,27.106399074272723,3564155921,3213940535,350215386,0.09826039987098532,9.138427962518858,1038808650,439490436,599318214,0.5769284015877226,15.638451490719088,350215386,167683364,182532022,0.5211993227504859,4.762942465068932,512,16,64,100.0,89.24,10.76,100.0,90.17,9.83,100.0,89.49,10.51,100.0,42.31,57.69,100.0,47.88,52.12,100.0,43.71,56.29
