benchmark,policy,file,l1_size_kb,l1_assoc,l1_block_b,l2_size_kb,l2_assoc,l2_block_b,l1_latency,l2_latency,mem_latency,total_instructions,total_cycles,ipc_reported,ipc_computed,l1_total_accesses,l1_total_hits,l1_total_misses,l1_total_miss_rate,l1_total_mpki,l2_total_accesses,l2_total_hits,l2_total_misses,l2_total_miss_rate,l2_total_mpki,mem_accesses,mem_mpki,l1_load_accesses,l1_load_hits,l1_load_misses,l1_load_miss_rate,l1_load_mpki,l1_store_accesses,l1_store_hits,l1_store_misses,l1_store_miss_rate,l1_store_mpki,l2_load_accesses,l2_load_hits,l2_load_misses,l2_load_miss_rate,l2_load_mpki,l2_store_accesses,l2_store_hits,l2_store_misses,l2_store_miss_rate,l2_store_mpki,l2_size_kb_filename,l2_assoc_filename,l2_block_b_filename,l1_load_accesses_pct,l1_load_hits_pct,l1_load_misses_pct,l1_store_accesses_pct,l1_store_hits_pct,l1_store_misses_pct,l1_total_accesses_pct,l1_total_hits_pct,l1_total_misses_pct,l2_load_accesses_pct,l2_load_hits_pct,l2_load_misses_pct,l2_store_accesses_pct,l2_store_hits_pct,l2_store_misses_pct,l2_total_accesses_pct,l2_total_hits_pct,l2_total_misses_pct
403.gcc,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_16_128.out,32,4,32,512,16,128,1,15,250,3184282304,8178762097,0.389335,0.38933548454331574,1230684358,1163031979,67652379,0.05497134871360736,21.24572275360671,67652379,56656340,10996039,0.16253735881187564,3.453223662420604,10996039,3.453223662420604,757424770,719589475,37835295,0.04995254512207199,11.881890921691346,473259588,443442504,29817084,0.063003655406132,9.363831831915366,37835295,27994615,9840680,0.2600925934368954,3.090391824757005,29817084,28661725,1155359,0.038748222327843994,0.36283183766359933,512,16,128,100.0,95.0,5.0,100.0,93.7,6.3,100.0,94.5,5.5,100.0,73.99,26.01,100.0,96.13,3.87,100.0,83.75,16.25
403.gcc,Sets:  128,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_0512_16_256.out,32,4,32,512,16,256,1,15,250,3184330911,7376842509,0.431666,0.43166583902462435,1230671068,1163226966,67444102,0.05480270378794669,21.179991616769506,67444102,59643386,7800716,0.11566194476130767,2.449719020423754,7800716,2.449719020423754,757396379,719548460,37847919,0.049971085219566384,11.885673963487145,473274689,443678506,29596183,0.0625348950364003,9.294317653282361,37847919,30687244,7160675,0.18919600308804296,2.248722007899386,29596183,28956142,640041,0.021625795461529616,0.20099701252436827,512,16,256,100.0,95.0,5.0,100.0,93.75,6.25,100.0,94.52,5.48,100.0,81.08,18.92,100.0,97.84,2.16,100.0,88.43,11.57
403.gcc,Sets: 2048,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_1024_08_064.out,32,4,32,1024,8,64,1,15,250,3184163876,8377384185,0.38009,0.3800904680605859,1230636494,1163140423,67496071,0.05484647280417803,21.19742375973114,67496071,55695500,11800571,0.174833450675966,3.7060187413545043,11800571,3.7060187413545043,757385669,719505704,37879965,0.050014103184727675,11.89636164316563,473250825,443634719,29616106,0.06258014658505878,9.301062116565511,37879965,27899371,9980594,0.26347949371125345,3.134447342747255,29616106,27796129,1819977,0.06145227194959391,0.5715713986072493,1024,8,64,100.0,95.0,5.0,100.0,93.74,6.26,100.0,94.52,5.48,100.0,73.65,26.35,100.0,93.85,6.15,100.0,82.52,17.48
403.gcc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_1024_08_128.out,32,4,32,1024,8,128,1,15,250,3184228103,7677665084,0.414739,0.4147391255234389,1230660561,1162978083,67682478,0.05499686927888802,21.255536918424088,67682478,58692321,8990157,0.1328284256968251,2.823339506215017,8990157,2.823339506215017,757391023,719556065,37834958,0.049954325904388225,11.88198733763892,473269538,443422018,29847520,0.06306664089586936,9.373549580785168,37834958,29828293,8006665,0.2116208243180817,2.5144759549281575,29847520,28864028,983492,0.032950543294719296,0.30886355128685955,1024,8,128,100.0,95.0,5.0,100.0,93.69,6.31,100.0,94.5,5.5,100.0,78.84,21.16,100.0,96.7,3.3,100.0,86.72,13.28
403.gcc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_1024_08_256.out,32,4,32,1024,8,256,1,15,250,3184153504,6925689095,0.45976,0.45975981022578666,1230612231,1162996557,67615674,0.05494474400360482,21.235054753189438,67615674,61628921,5986753,0.08854090547111902,1.8801709755761826,5986753,1.8801709755761826,757366555,719486574,37879981,0.050015386538952725,11.896405419027184,473245676,443509983,29735693,0.06283352285716394,9.33864933416225,37879981,32425956,5454025,0.14398172480603938,1.7128649712234478,29735693,29202965,532728,0.01791543919961778,0.16730600435273488,1024,8,256,100.0,95.0,5.0,100.0,93.72,6.28,100.0,94.51,5.49,100.0,85.6,14.4,100.0,98.21,1.79,100.0,91.15,8.85
403.gcc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_1024_16_064.out,32,4,32,1024,16,64,1,15,250,3184282548,8375399937,0.380195,0.3801946858600503,1230717764,1162960689,67757075,0.05505492565556241,21.278600117491834,67757075,55980901,11776174,0.173799916835253,3.6982189307906856,11776174,3.6982189307906856,757439713,719602140,37837573,0.04995456714322028,11.882605400002964,473278051,443358549,29919502,0.06321759890783527,9.39599471748887,37837573,27873241,9964332,0.26334490322621906,3.1292235691391292,29919502,28107660,1811842,0.06055722451530109,0.5689953616515565,1024,16,64,100.0,95.0,5.0,100.0,93.68,6.32,100.0,94.49,5.51,100.0,73.67,26.33,100.0,93.94,6.06,100.0,82.62,17.38
403.gcc,Sets:  512,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_1024_16_128.out,32,4,32,1024,16,128,1,15,250,3184336052,7662985540,0.415548,0.4155477046613349,1230677693,1162932290,67745403,0.055047234044567996,21.274577146922308,67745403,58818240,8927163,0.13177518480479036,2.8034613351794566,8927163,2.8034613351794566,757393270,719631025,37762245,0.04985817341630194,11.858749950804501,473284423,443301265,29983158,0.06335124619134148,9.415827196117805,37762245,29813758,7948487,0.21048767095282603,2.4961206575567796,29983158,29004482,978676,0.03264085791096455,0.307340677622677,1024,16,128,100.0,95.01,4.99,100.0,93.66,6.34,100.0,94.5,5.5,100.0,78.95,21.05,100.0,96.74,3.26,100.0,86.82,13.18
403.gcc,Sets:  256,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_1024_16_256.out,32,4,32,1024,16,256,1,15,250,3184229406,6902731810,0.4613,0.46129988729780885,1230647719,1162910590,67737129,0.05504185150161563,21.27269124277411,67737129,61849938,5887191,0.08691231953453475,1.8488589386514824,5887191,1.8488589386514824,757391914,719598781,37793133,0.049899044736830926,11.86884742939278,473255805,443311809,29943996,0.06327232689728972,9.403843813381329,37793133,32435606,5357527,0.14175927145283246,1.6825191645755437,29943996,29414332,529664,0.017688487535197372,0.16633977407593853,1024,16,256,100.0,95.01,4.99,100.0,93.67,6.33,100.0,94.5,5.5,100.0,85.82,14.18,100.0,98.23,1.77,100.0,91.31,8.69
403.gcc,Sets: 2048,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_2048_16_064.out,32,4,32,2048,16,64,1,15,250,3184218001,7395699579,0.43055,0.4305499387835532,1230657993,1163619104,67038889,0.054474020711942836,21.053485967024404,67038889,59137928,7900961,0.1178563833299803,2.4812877125619894,7900961,2.4812877125619894,757394885,719630278,37764607,0.049861185687833105,11.859931382882726,473263108,443988826,29274282,0.06185625185050342,9.193554584141678,37764607,31496911,6267696,0.16596746260327824,1.9683627182660353,29274282,27641017,1633265,0.05579180387754685,0.5129249942959543,2048,16,64,100.0,95.01,4.99,100.0,93.81,6.19,100.0,94.55,5.45,100.0,83.4,16.6,100.0,94.42,5.58,100.0,88.21,11.79
403.gcc,Sets: 1024,/home/ssm-user/advcomparch/advcomparch-ex2-helpcode/outputs/L2_cache/403.gcc/403.gcc.cslab_cache_stats_L2_LRU_2048_16_128.out,32,4,32,2048,16,128,1,15,250,3184083291,7097775340,0.448603,0.44860299720334623,1230604564,1163611215,66993349,0.05443937960236592,21.0400742937098,66993349,60280600,6712749,0.10020023032435653,2.1082202902712948,6712749,2.1082202902712948,757369089,719572841,37796248,0.04990466147741079,11.87037038472999,473235475,444038374,29197101,0.06169677157022094,9.16970390897981,37796248,31952621,5843627,0.15460865321870043,1.8352619783902506,29197101,28327979,869122,0.02976740738746631,0.27295831188104436,2048,16,128,100.0,95.01,4.99,100.0,93.83,6.17,100.0,94.56,5.44,100.0,84.54,15.46,100.0,97.02,2.98,100.0,89.98,10.02
